"","ai","aj","goodness"
"261",0.4,0.6,0
"262",0.45,0.6,0
"263",0.5,0.6,0
"264",0.55,0.6,0
"265",0.6,0.6,0
"266",0.65,0.6,0
"267",0.7,0.6,0
"268",0.75,0.6,0
"269",0.8,0.6,0
"270",0.85,0.6,0
"271",0.9,0.6,0
"272",0.95,0.6,0
"273",1,0.6,0
"274",0,0.65,0
"275",0.05,0.65,0
"276",0.1,0.65,0
"277",0.15,0.65,0
"278",0.2,0.65,0
"279",0.25,0.65,0
"280",0.3,0.65,0
"281",0.35,0.65,0
"282",0.4,0.65,0
"283",0.45,0.65,0
"284",0.5,0.65,0
"285",0.55,0.65,0
"286",0.6,0.65,0
"287",0.65,0.65,0
"288",0.7,0.65,0
"289",0.75,0.65,0
"290",0.8,0.65,0
"291",0.85,0.65,0
"292",0.9,0.65,0
"293",0.95,0.65,0
"294",1,0.65,0
"295",0,0.7,0
"296",0.05,0.7,0
"297",0.1,0.7,0
"298",0.15,0.7,0
"299",0.2,0.7,0
"300",0.25,0.7,0
"301",0.3,0.7,0
"302",0.35,0.7,0
"303",0.4,0.7,0
"304",0.45,0.7,0
"305",0.5,0.7,0
"306",0.55,0.7,0
"307",0.6,0.7,0
"308",0.65,0.7,0
"309",0.7,0.7,0
"310",0.75,0.7,0
"311",0.8,0.7,0
"312",0.85,0.7,0
"313",0.9,0.7,0
"314",0.95,0.7,0
"315",1,0.7,0
"316",0,0.75,0
"317",0.05,0.75,0
"318",0.1,0.75,0
"319",0.15,0.75,0
"320",0.2,0.75,0
"321",0.25,0.75,0
"322",0.3,0.75,0
"323",0.35,0.75,0
"324",0.4,0.75,0
"325",0.45,0.75,0
"326",0.5,0.75,0
"327",0.55,0.75,0
"328",0.6,0.75,0
"329",0.65,0.75,0
"330",0.7,0.75,0
"331",0.75,0.75,0
"332",0.8,0.75,0
"333",0.85,0.75,0
"334",0.9,0.75,0
"335",0.95,0.75,0
"336",1,0.75,0
"337",0,0.8,0
"338",0.05,0.8,0
"339",0.1,0.8,0
"340",0.15,0.8,0
"341",0.2,0.8,0
"342",0.25,0.8,0
"343",0.3,0.8,0
"344",0.35,0.8,0
"345",0.4,0.8,0
"346",0.45,0.8,0
"347",0.5,0.8,0
"348",0.55,0.8,0
"349",0.6,0.8,0
"350",0.65,0.8,0
"351",0.7,0.8,0
"352",0.75,0.8,0
"353",0.8,0.8,0
"354",0.85,0.8,0
"355",0.9,0.8,0
"356",0.95,0.8,0
"357",1,0.8,0
"358",0,0.85,0
"359",0.05,0.85,0
"360",0.1,0.85,0
"361",0.15,0.85,0
"362",0.2,0.85,0
"363",0.25,0.85,0
"364",0.3,0.85,0
"365",0.35,0.85,0
"366",0.4,0.85,0
"367",0.45,0.85,0
"368",0.5,0.85,0
"369",0.55,0.85,0
"370",0.6,0.85,0
"371",0.65,0.85,0
"372",0.7,0.85,0
"373",0.75,0.85,0
"374",0.8,0.85,0
"375",0.85,0.85,0
"376",0.9,0.85,0
"377",0.95,0.85,0
"378",1,0.85,0
"379",0,0.9,0
"380",0.05,0.9,0
"381",0.1,0.9,0
"382",0.15,0.9,0
"383",0.2,0.9,0
"384",0.25,0.9,0
"385",0.3,0.9,0
"386",0.35,0.9,0
"387",0.4,0.9,0
"388",0.45,0.9,0
"389",0.5,0.9,0
"390",0.55,0.9,0
"391",0.6,0.9,0
"392",0.65,0.9,0
"393",0.7,0.9,0
"394",0.75,0.9,0
"395",0.8,0.9,0
"396",0.85,0.9,0
"397",0.9,0.9,0
"398",0.95,0.9,0
"399",1,0.9,0
"400",0,0.95,0
"401",0.05,0.95,0
"402",0.1,0.95,0
"403",0.15,0.95,0
"404",0.2,0.95,0
"405",0.25,0.95,0
"406",0.3,0.95,0
"407",0.35,0.95,0
"408",0.4,0.95,0
"409",0.45,0.95,0
"410",0.5,0.95,0
"411",0.55,0.95,0
"412",0.6,0.95,0
"413",0.65,0.95,0
"414",0.7,0.95,0
"415",0.75,0.95,0
"416",0.8,0.95,0
"417",0.85,0.95,0
"418",0.9,0.95,0
"419",0.95,0.95,0
"420",1,0.95,0
"421",0,1,0
"422",0.05,1,0
"423",0.1,1,0
"424",0.15,1,0
"425",0.2,1,0
"426",0.25,1,0
"427",0.3,1,0
"428",0.35,1,0
"429",0.4,1,0
"430",0.45,1,0
"431",0.5,1,0
"432",0.55,1,0
"433",0.6,1,0
"434",0.65,1,0
"435",0.7,1,0
"436",0.75,1,0
"437",0.8,1,0
"438",0.85,1,0
"439",0.9,1,0
"440",0.95,1,0
"441",1,1,0
